title,text,topics,places,summary,cleaned_summary
INDONESIAN AGRICULTURE GROWTH EXPECTED TO SLOW,"Indonesia""s agriculture sector will grow
by just 1.0 pct in calendar 1987, against an estimated 2.4 pct
in 1986 as the production of some commodities stagnates or
declines, the U.S. Embassy said in a report.
    Production of Indonesia""s staple food, rice, is forecast to
fall to around 26.3 mln tonnes from an embassy estimate of
26.58 mln tonnes in 1986, according to the annual report on
Indonesia""s agricultural performance.
    The government officially estimates 1986 rice production at
26.7 mln tonnes, with a forecast 27.3 mln tonnes output in
1987.
    The report says wheat imports are likely to fall to 1.5 mln
tonnes in calendar 1987 from 1.69 mln tonnes in 1986 because of
a drawdown on stocks.
    ""Growth prospects for agriculture in 1987 do not look
promising as rice production is forecast to decline and the
production of sugarcane, rubber and copra show little or no
gain,"" the report says.
    ""The modest overall increase which is expected will be due
to significant gains in production of corn soybeans, palm oil
and palm kernels.""
    Constraints to significant overall increases in
agricultural output include a shortage of disease resistant
seeds, limited fertile land, insect pests and a reluctance by
farmers to shift from rice production to other crops, the
report underlines.
    The fall in rice production is caused by an outbreak of
pests known as ""wereng"" or brown plant hoppers in 1986 which
largely offset gains in yields.
    The outbreak has forced the government to ban the use of 57
insecticides on rice because it was believed the wereng are now
resistant to these varieties, and to use lower-yielding, more
resistant rice types.
    The government is depending on increased production of
export commodities such as coffee, tea, rubber, plywood and
palm oil to offset revenue losses brought on by falling crude
oil prices.
    Palm oil production is expected to increase by over 7.0 pct
in 1987 to 1.45 mln tonnes from 1.35 mln, with exports rising
to an estimated 720,000 tonnes from 695,000 tonnes in 1986, the
report says.
    But while production of soybeans in 1987/88 (Oct-Sept) will
rise to 1.075 mln tonnes from 980,000 in 1986/87, imports will
also rise to supply a new soybean crushing plant.
    The report says that imports of wheat, soybeans, soybean
meal and cotton are not likely to decline as a result of last
September""s 31 pct devaluation of the rupiah because of a rise
in domestic demand.
    The report said that Indonesia""s overall economic
performance in calendar 1986 was about zero or even a slight
negative growth rate, the lowest rate of growth since the
mid-1960s. It compares with 1.9 pct growth in 1985 and 6.7 pct
in 1984.
    The dramatic fall in oil prices last year was responsible
for the slump.
 REUTER
","['grain', 'wheat', 'rice', 'veg-oil', 'soybean', 'sugar', 'rubber', 'copra-cake', 'corn', 'palm-oil', 'palmkernel', 'coffee', 'tea', 'plywood', 'soy-meal', 'cotton']",['indonesia'],"Indonesia's agriculture sector will grow by 1.0% in calendar 1987, against 2.4% in 1986. Production of Indonesia's staple food, rice, is forecast to fall to around 26.3 mln tonnes in 1987. The government is depending on increased production of export commodities like coffee, tea, rubber, plywood and palm oil to offset revenue losses brought on by falling crude oil prices.",indonesia 's agriculture sector grow 1.0 calendar 1987 2.4 1986 production indonesia 's staple food rice forecast fall around 26.3 mln tonne 1987 government depending increased production export commodity like coffee tea rubber plywood palm oil offset revenue loss brought falling crude oil price
KUWAIT SAYS NO PLANS FOR EMERGENCY OPEC TALKS,"Kuwait""s Oil Minister, in remarks
published today, said there were no plans for an emergency OPEC
meeting to review oil policies after recent weakness in world
oil prices.
    Sheikh Ali al-Khalifa al-Sabah was quoted by the local
daily al-Qabas as saying: ""None of the OPEC members has asked
for such a meeting.""
    He denied Kuwait was pumping above its quota of 948,000
barrels of crude daily (bpd) set under self-imposed production
limits of the 13-nation organisation.
    Traders and analysts in international oil markets estimate
OPEC is producing up to one mln bpd above a ceiling of 15.8 mln
bpd agreed in Geneva last December.
    They named Kuwait and the United Arab Emirates, along with
the much smaller producer Ecuador, among those producing above
quota. Kuwait, they said, was pumping 1.2 mln bpd.
    ""This rumour is baseless. It is based on reports which said
Kuwait has the ability to exceed its share. They suppose that
because Kuwait has the ability, it will do so,"" the minister
said.
    Sheikh Ali has said before that Kuwait had the ability to
produce up to 4.0 mln bpd.
    ""If we can sell more than our quota at official prices,
while some countries are suffering difficulties marketing their
share, it means we in Kuwait are unusually clever,"" he said.
    He was referring apparently to the Gulf state of qatar,
which industry sources said was selling less than 180,000 bpd
of its 285,000 bpd quota, because buyers were resisting
official prices restored by OPEC last month pegged to a marker
of 18 dlrs per barrel.
    Prices in New York last week dropped to their lowest levels
this year and almost three dollars below a three-month high of
19 dollars a barrel.
    Sheikh Ali also delivered ""a challenge to any international
oil company that declared Kuwait sold below official prices.""
    Because it was charging its official price, of 16.67 dlrs a
barrel, it had lost custom, he said but did not elaborate.
    However, Kuwait had guaranteed markets for its oil because
of its local and international refining facilities and its own
distribution network abroad, he added.
    He reaffirmed that the planned meeting March 7 of OPEC""s
differentials committee has been postponed until the start of
April at the request of certain of the body""s members.
    Ecuador""s deputy energy minister Fernando Santos Alvite said
last Wednesday his debt-burdened country wanted OPEC to assign
a lower official price for its crude, and was to seek this at
talks this month of opec""s pricing committee.
    Referring to pressure by oil companies on OPEC members, in
apparent reference to difficulties faced by Qatar, he said: ""We
expected such pressure. It will continue through March and
April."" But he expected the situation would later improve.
 REUTER
",['crude'],"['kuwait', 'ecuador']","Sheikh Ali al-Khalifa al-Sabah, Kuwait's Oil Minister, said there are no plans for an emergency OPEC meeting to review oil policies after recent weakness in world oil prices. He denied Kuwait was pumping above its quota of 948,000 barrels of crude daily (bpd) set under self-imposed production limits of the 13-nation organisation. OPEC is producing up to one million bpd above a ceiling of 15.8 mln bpd agreed in Geneva last December.","sheikh ali al-khalifa al-sabah kuwait 's oil minister said plan emergency opec meeting review oil policy recent weakness world oil price denied kuwait wa pumping quota 948,000 barrel crude daily bpd set self-imposed production limit 13-nation organisation opec producing one million bpd ceiling 15.8 mln bpd agreed geneva last december"
INDONESIA SEEN AT CROSSROADS OVER ECONOMIC CHANGE,"Indonesia appears to be nearing a
political crossroads over measures to deregulate its protected
economy, the U.S. Embassy says in a new report.
    To counter falling oil revenues, the government has
launched a series of measures over the past nine months to
boost exports outside the oil sector and attract new
investment.
    Indonesia, the only Asian member of OPEC and a leading
primary commodity producer, has been severely hit by last year""s
fall in world oil prices, which forced it to devalue its
currency by 31 pct in September.
    But the U.S. Embassy report says President Suharto""s
government appears to be divided over what direction to lead
the economy.
    ""(It) appears to be nearing a crossroads with regard to
deregulation, both as it pertains to investments and imports,""
the report says. It primarily assesses Indonesia""s agricultural
sector, but also reviews the country""s general economic
performance.
    It says that while many government officials and advisers
are recommending further relaxation, ""there are equally strong
pressures being exerted to halt all such moves.""
    ""This group strongly favours an import substitution economy,""
the report says.
    Indonesia""s economic changes have been welcomed by the World
Bank and international bankers as steps in the right direction,
though they say crucial areas of the economy like plastics and
steel remain highly protected, and virtual monopolies.
    Three sets of measures have been announced since last May,
which broadened areas for foreign investment, reduced trade
restrictions and liberalised imports.
    The report says Indonesia""s economic growth in calendar 1986
was probably about zero, and the economy may even have
contracted a bit. ""This is the lowest rate of growth since the
mid-1960s,"" the report notes.
    Indonesia, the largest country in South-East Asia with a
population of 168 million, is facing general elections in
April.
    But the report hold out little hope for swift improvement
in the economic outlook. ""For 1987 early indications point to a
slightly positive growth rate not exceeding one pct. Economic
activity continues to suffer due to the sharp fall in export
earnings from the petroleum industry.""
    ""Growth in the non-oil sector is low because of weak
domestic demand coupled with excessive plant capacity, real
declines in construction and trade, and a reduced level of
growth in agriculture,"" the report states.
    Bankers say continuation of present economic reforms is
crucial for the government to get the international lending its
needs.
    A new World Bank loan of 300 mln dlrs last month in balance
of payments support was given partly to help the government
maintain the momentum of reform, the Bank said.
 REUTER
",['crude'],"['indonesia', 'usa']","Indonesia is at a political crossroads over deregulating its protected economy, the U.S. Embassy says in a new report. To counter falling oil revenues, the government has launched a series of measures to boost exports outside the oil sector and attract new investment. Three sets of measures have been announced since last May, which broadened areas for foreign investment, reduced trade restrictions and liberalised imports. Indonesia's economic growth in calendar 1986 was probably about zero, and the economy may have contracted a bit.",indonesia political crossroad deregulating protected economy u.s embassy say new report counter falling oil revenue government ha launched series measure boost export outside oil sector attract new investment three set measure announced since last may broadened area foreign investment reduced trade restriction liberalised import indonesia 's economic growth calendar 1986 wa probably zero economy may contracted bit
INDIAN BUDGET COMES IN FOR WIDE CRITICISM,"Opposition politicians, businessmen
and newspapers criticised India""s newly unveiled 1987/88 budget
and large projected deficit of around 57 billion rupees.
    They said the budget failed to provide incentives for
economic growth and merely tinkered with tax reform.
    But few politicians were prepared to criticise a sharp rise
in defence expenditure in the Hindu-majority nation where
playing on fear of aggression by Moslem Pakistan has proved a
vote winner. The Indian Express, the country""s biggest selling
paper, said: ""The defence cow has never been holier.""
    The Sunday Mail newspaper branded the budget ""shamelessly
political."" It said in a front page commentary the ""budget is bad
for growth, bad for prices, bad for the stock market and
neutral in respect of everything else.""
    Businessmen polled by Reuters said the budget had done
little for them.
    Gandhi announced small increases in poverty alleviation and
education outlays but he ordered a hold-down on current
expenditure in an attempt to rein in the budget deficit. He
told ministries to curb spending and promised a review of
money-losing public sector industries.
    Gandhi lowered import tariffs on some computer parts but
otherwise did little to extended the economic liberalisation
policy launched two years ago.
    Reaction in Bombay, India""s business capital, was generally
unfavourable.
    Businessmen and economists said the budget had no proposals
for closing the 1987/88 budget deficit. It also failed to boost
industrial investment and productivity needed to lift real
economic growth above the five pct a year envisaged by the
1985-90 development plan.
    Nalin Vissanji, President of the Indian Merchants Chambers
of Commerce said the budget gave no incentives to the capital
market and had not fulfilled a government pledge to remove
surtax on corporate income.
    Shares on The Bombay Stock Exchange, India""s biggest, fell
in a post-budget session yesterday but brokers welcomed Gandhi""s
proposal to set up a regulatory board for the securities
industry.
    The exchange was shaken last year by several scandals and
trading was suspended several times.
    Brokers said trading volume may increase with the change in
capital gains tax on stock sales.
    Stockholders can now sell shares after one year instead of
three years without incurring capital gains tax.
    Stock Exchange President Ramdas Dalal said yesterday the
fall in share prices after the budget came as profits were
taken and he expected to the market to firm in days to come.
 REUTER
",[],['india'],"Opposition politicians, businessmen and newspapers criticise India's newly unveiled 1987/88 budget. The budget has a large projected deficit of around 57 billion rupees. Businessmen polled by Reuters said the budget had done little for them. Reaction in Bombay, India's business capital, was generally unfavourable.",opposition politician businessmen newspaper criticise india 's newly unveiled 1987/88 budget budget ha large projected deficit around 57 billion rupee businessmen polled reuters said budget done little reaction bombay india 's business capital wa generally unfavourable
CHINA TO BORROW 390 MLN DLRS,"China will receive loans totalling 390
mln dlrs from Japan and the World Bank for investment in new
highways and port facilities.
    The Japan Overseas Economic Co-operation Fund is to provide
260 mln dlrs towards China""s plans to improve its road network,
the official New China News Agency reported.
    A 130 mln dlr World Bank loan will be used to build 12 new
berths incorporating container handling systems at the
northeast China port of Tianjin, the agency said.
    It gave no details of the repayment terms of the loans.
 REUTER
",[],"['china', 'japan']",China will receive loans totalling 390 million dlrs from Japan and the World Bank for investment in new highways and port facilities. The Japan Overseas Economic Co-operation Fund is to provide 260 million dollars towards China's plans to improve its road network. The World Bank loan will be used to build 12 berths incorporating container handling systems at the northeast China port of Tianjin.,china receive loan totalling 390 million dlrs japan world bank investment new highway port facility japan overseas economic co-operation fund provide 260 million dollar towards china 's plan improve road network world bank loan used build 12 berth incorporating container handling system northeast china port tianjin
"CHINESE WHEAT CROP THREATENED BY PESTS, DISEASE","China's wheat crop this year is seriously
threatened by plant pests and diseases, the New China News
Agency said.
    More than 5 mln hectares of wheat-producing land in North
China could be affected because relatively warm and dry weather
had allowed bacteria and insect eggs to survive the winter, the
agency added.
    China""s Ministry of Agriculture, Animal Husbandry and
Fisheries has called for measures including the timely supply
of pesticides to farmers to combat the threat, it said.
 REUTER
","['grain', 'wheat']",['china'],"China's wheat crop this year is seriously threatened by plant pests and diseases. Warm and dry weather allowed bacteria and insect eggs to survive the winter. China's Ministry of Agriculture, Animal Husbandry and Fisheries has called for timely supply of pesticides to farmers to combat the threat.",china 's wheat crop year seriously threatened plant pest disease warm dry weather allowed bacteria insect egg survive winter china 's ministry agriculture animal husbandry fishery ha called timely supply pesticide farmer combat threat
SAUDI RIYAL DEPOSIT RATES REMAIN FIRM,"Saudi riyal interbank deposits were
steady at yesterday's higher levels in a quiet market.
    Traders said they were reluctant to take out new positions
amidst uncertainty over whether OPEC will succeed in halting
the current decline in oil prices.
    Oil industry sources said yesterday several Gulf Arab
producers had had difficulty selling oil at official OPEC
prices but Kuwait has said there are no plans for an emergency
meeting of the 13-member organisation.
    A traditional Sunday lull in trading due to the European
weekend also contributed to the lack of market activity.
    Spot-next and one-week rates were put at 6-1/4, 5-3/4 pct
after quotes ranging between seven, six yesterday.
    One, three, and six-month deposits were quoted unchanged at
6-5/8, 3/8, 7-1/8, 6-7/8 and 7-3/8, 1/8 pct respectively.
    The spot riyal was quietly firmer at 3.7495/98 to the
dollar after quotes of 3.7500/03 yesterday.
 REUTER
",['crude'],"['bahrain', 'saudi-arabia']",Traders are reluctant to take out new positions because of uncertainty over whether OPEC will succeed in halting the current decline in oil prices. The spot riyal was quietly firmer at 3.7495/98 to the dollar after quotes of 3.7500/03 yesterday.,trader reluctant take new position uncertainty whether opec succeed halting current decline oil price spot riyal wa quietly firmer 3.7495/98 dollar quote 3.7500/03 yesterday
IRAN CLAIMS NEW VICTORIES NEAR BASRA,"Iran said its forces had captured one of
Iraq's strongest fortifications east of Basra on the Gulf War
southern front in a major battle overnight.
    The Iranian National News Agency, received here, said
Iranian forces smashed four Iraqi brigades, killed or wounded
1,500 Iraqi soldiers and destroyed 45 enemy tanks and personnel
carriers.
    IRNA said the Iranian troops seized one of the strongest
Iraqi fortifications and breached Iraqi defence lines southwest
of Fish Lake, 10 kilometres (six miles) east of Iraq's second
largest city of Basra.
 REUTER
",[],"['uk', 'iran', 'iraq']","Iran said its forces captured one of Iraq's strongest fortifications east of Basra on the Gulf War's southern front in a major battle overnight. Iranian forces smashed four Iraqi brigades, killed or wounded 1,500 Iraqi soldiers and destroyed 45 enemy tanks and personnel carriers.","iran said force captured one iraq 's strongest fortification east basra gulf war 's southern front major battle overnight iranian force smashed four iraqi brigade killed wounded 1,500 iraqi soldier destroyed 45 enemy tank personnel carrier"
BANGLADESH MOVES AGAINST LOAN DEFAULTERS,"Bangladesh police mounted a cross-country
hunt for defaulters on bank loans, arresting four
industrialists and issuing arrest warrants against 50 others
for failure to repay overdue obligations. No names were given.
    Metropolitan police told reporters the four arrested, put
under six month pre-trial detention, owed nearly 50.7 mln taka
-- the equivalent of about 1.7 mln dlrs -- to Bangladesh Shilpa
(Industrial) Bank.
    President Hossain Mohammad Ershad has said non-payers are
crippling the industrial sector. But the Chamber of Commerce
and industry said the crackdown would scare away entrepreneurs.
 REUTER
",[],['bangladesh'],Bangladesh police arrest four industrialists and issue arrest warrants against 50 others for failure to repay overdue obligations to Bangladesh Shilpa(Industrial) Bank. President Hossain Mohammad Ershad has said non-payers are crippling the industrial sector. Chamber of Commerce and industry say the crackdown will scare away entrepreneurs.,bangladesh police arrest four industrialist issue arrest warrant 50 others failure repay overdue obligation bangladesh shilpa industrial bank president hossain mohammad ershad ha said non-payers crippling industrial sector chamber commerce industry say crackdown scare away entrepreneur
IRAQ SAYS IT REPELS IRANIAN ATTACK,"Iraq said its troops repelled an
overnight attack by three divisions of Iranian Revolutionary
Guards near Basra in southern Iraq.
    A military communique said the Iranians in a ""perfidious""
attack rushed forward positions last night and this morning.
    A military spokesman later said the Iraqi Third Army Corps,
whose troops fought off the Iranians, had a new commander,
revealing for the first time that the previous general had been
replaced. He said Lieutenant General Dhiya'uldin Jamal, former
commander of the Fifth Army Corps, also positioned in the Basra
area, had replaced Major General Tala' Khalil al-Douri.
 REUTER
",[],"['iran', 'iraq']",Iranian Revolutionary Guards attacked Iraqi troops near Basra last night and this morning. Iraqi Third Army Corps has a new commander. Lieutenant General Dhiya'uldin Jamal replaced Major General Tala' Khalil al-Douri as commander of the Fifth Army Corps.,iranian revolutionary guard attacked iraqi troop near basra last night morning iraqi third army corp ha new commander lieutenant general dhiya'uldin jamal replaced major general tala khalil al-douri commander fifth army corp
QATAR UNVEILS BUDGET FOR FISCAL 1987/88,"The Gulf oil state of Qatar, recovering
slightly from last year's decline in world oil prices,
announced its first budget since early 1985 and projected a
deficit of 5.472 billion riyals.
    The deficit compared with a shortfall of 7.3 billion riyals
in the last published budget for 1985/86.
    In a statement outlining the budget for the fiscal year
1987/88 beginning today, Finance and Petroleum Minister Sheikh
Abdul-Aziz bin Khalifa al-Thani said the government expected to
spend 12.217 billion riyals in the period.
    Projected expenditure in the 1985/86 budget had been 15.6
billion riyals.
    Sheikh Abdul-Aziz said government revenue would be about
6.745 billion riyals, down by about 30 pct on the 1985/86
projected revenue of 9.7 billion.
    The government failed to publish a 1986/87 budget due to
uncertainty surrounding oil revenues.
    Sheikh Abdul-Aziz said that during that year the government
decided to limit recurrent expenditure each month to
one-twelfth of the previous fiscal year's allocations minus 15
pct.
    He urged heads of government departments and public
institutions to help the government rationalise expenditure. He
did not say how the 1987/88 budget shortfall would be covered.
    Sheikh Abdul-Aziz said plans to limit expenditure in
1986/87 had been taken in order to relieve the burden placed on
the country's foreign reserves.
    He added in 1987/88 some 2.766 billion riyals had been
allocated for major projects including housing and public
buildings, social services, health, education, transport and
communications, electricity and water, industry and
agriculture.
    No figure was revealed for expenditure on defence and
security. There was also no projection for oil revenue.
    Qatar, an OPEC member, has an output ceiling of 285,000
barrels per day.
    Sheikh Abdul-Aziz said: ""Our expectations of positive signs
regarding (oil) price trends, foremost among them OPEC's
determination to shoulder its responsibilites and protect its
wealth, have helped us make reasonable estimates for the coming
year's revenue on the basis of our assigned quota.""
 REUTER
",['crude'],['qatar'],Qatar has announced its first budget since early 1985 and projected a deficit of 5.472 billion riyals. The last published budget for 1985/86 was 7.3 billion. The government failed to publish a 1986/87 budget due to uncertainty surrounding oil revenues. Sheikh Abdul-Aziz bin Khalifa al-Thani urged heads of government departments and public institutions to help the government rationalise expenditure.,qatar ha announced first budget since early 1985 projected deficit 5.472 billion riyal last published budget 1985/86 wa 7.3 billion government failed publish 1986/87 budget due uncertainty surrounding oil revenue sheikh abdul-aziz bin khalifa al-thani urged head government department public institution help government rationalise expenditure
"GULF BOND, STOCK MARKETS LAG BEHIND, GIB SAYS","Gulf money markets have grown reasonably
well during the past decade, but bond and stock markets remain
to a large extent fragmented and lag behind, &lt;Gulf
International Bank BSC> (GIB) said.
    The bank's economist Henry Azzam said in a review of Gulf
capital markets that investors have to relinquish traditional
investment vehicles such as real estate, foreign currency bank
accounts and precious metals.
    ""Greater financial sophistication is needed coupled with
more diversified capital market instruments and a change in the
disclosure requirements on company accounts,"" he said.
    The GIB study reviewed capital markets under three
categories -- money markets, stock and bond markets.
    Azzam said Gulf states had been making greater use of
short-term money market instruments and banks in the region had
floated various euronotes and underwriting facilities.
    ""Nevertheless, bond and stock markets remain, to a large
extent, fragmented and lagging behind,"" he said.
    Most debt in the region is still raised by syndicated loans
and bank facilities and very few companies had made use of
stock or bond issues. Only Kuwait has an official stock
exchange, while other Gulf nations have yet to establish
exchanges.
    But with dwindling financial surpluses in the Gulf,
governments are actively pursuing ways to develop capital
markets and set up domestic stock exchanges, Azzam said.
    He said recession stemming from sliding oil prices had
""clearly had a negative impact on the development of capital
markets in the region.""
    In addition, family firms are reluctant to go public,
financial awareness among investors is still lacking and
investment analysis and corporate reporting standards lack
depth. A sharp fall in share prices in the early 1980s prompted
investors to hold on to shares hoping for an eventual recovery.
    Azzam said the absence of proper commercial law in some
Gulf countries and authorities' apparent reluctance to adopt
financial innovations had also hampered capital markets.
    He called for clearly defined laws governing incorporation
of joint stock companies and the flotation of debt instruments.
    Azzam said capital market instruments should be made
available to all citizens and institutions of Gulf Cooperation
Council (GCC) states -- Bahrain, Kuwait, Qatar, Oman, Saudi
Arabia and the United Arab Emirates (UAE). Some moves had been
taken in this direction, with Bahrain allowing GCC nationals to
own up to 25 pct of locally incorporated companies.
    Azzam said Gulf money markets had received greater depth
from the introduction of treasury bill offerings in Bahrain and
the expansion of securities repurchase regulations in Saudi
Arabia.
    But he added there is ""no bond market to speak of"" in Saudi
Arabia, Qatar, Oman or the UAE, with the last Saudi riyal
denominated bond issued in 1978.
    While Bahrain plans an official stock exchange and trading
in Saudi Arabia has picked up, establishment of formal
exchanges in Qatar, Oman and the UAE does not appear imminent,
Azzam said.
 REUTER
",['money-fx'],"['bahrain', 'kuwait', 'oman', 'saudi-arabia', 'qatar', 'uae']","Gulf money markets have grown well during the past decade, but bond and stock markets remain fragmented and lag behind. Most debt in the region is raised by syndicated loans and bank facilities. Only Kuwait has an official stock exchange. With dwindling financial surpluses in the Gulf, governments are trying to develop capital markets and set up domestic stock exchanges.",gulf money market grown well past decade bond stock market remain fragmented lag behind debt region raised syndicated loan bank facility kuwait ha official stock exchange dwindling financial surplus gulf government trying develop capital market set domestic stock exchange
SAUDI ARABIA REITERATES COMMITMENT TO OPEC PACT,"Saudi Arabian Oil Minister Hisham Nazer
reiterated the kingdom's commitment to last December's OPEC
accord to boost world oil prices and stabilise the market, the
official Saudi Press Agency SPA said.
    Asked by the agency about the recent fall in free market
oil prices, Nazer said Saudi Arabia ""is fully adhering by the
... Accord and it will never sell its oil at prices below the
pronounced prices under any circumstance.""
    Nazer, quoted by SPA, said recent pressure on free market
prices ""may be because of the end of the (northern hemisphere)
winter season and the glut in the market.""
    Saudi Arabia was a main architect of the December accord,
under which OPEC agreed to lower its total output ceiling by
7.25 pct to 15.8 mln barrels per day (bpd) and return to fixed
prices of around 18 dlrs a barrel.
    The agreement followed a year of turmoil on oil markets,
which saw prices slump briefly to under 10 dlrs a barrel in
mid-1986 from about 30 dlrs in late 1985. Free market prices
are currently just over 16 dlrs.
    Nazer was quoted by the SPA as saying Saudi Arabia's
adherence to the accord was shown clearly in the oil market.
    He said contacts among members of OPEC showed they all
wanted to stick to the accord.
    In Jamaica, OPEC President Rilwanu Lukman, who is also
Nigerian Oil Minister, said the group planned to stick with the
pricing agreement.
    ""We are aware of the negative forces trying to manipulate
the operations of the market, but we are satisfied that the
fundamentals exist for stable market conditions,"" he said.
    Kuwait's Oil Minister, Sheikh Ali al-Khalifa al-Sabah, said
in remarks published in the emirate's daily Al-Qabas there were
no plans for an emergency OPEC meeting to review prices.
    Traders and analysts in international oil markets estimate
OPEC is producing up to one mln bpd above the 15.8 mln ceiling.
    They named Kuwait and the United Arab Emirates, along with
the much smaller producer Ecuador, among those producing above
quota. Sheikh Ali denied that Kuwait was over-producing.
 REUTER
",['crude'],"['bahrain', 'saudi-arabia']","OPEC agreed to lower its output ceiling by 7.25% to 15.8 million barrels per day and return to fixed prices of around 18 dlrs a barrel in December. Free market prices are currently just over 16. Kuwait's Oil Minister, Sheikh Ali al-Khalifa al-Sabah, says there are no plans for an emergency OPEC meeting to review prices.",opec agreed lower output ceiling 7.25 15.8 million barrel per day return fixed price around 18 dlrs barrel december free market price currently 16 kuwait 's oil minister sheikh ali al-khalifa al-sabah say plan emergency opec meeting review price
"COFFEE QUOTA TALKS CONTINUE, NO ACCORD SEEN LIKELY","The International Coffee Organization
(ICO ) council talks on reintroducing export quotas continued
with an extended session lasting late into Sunday night, but
delegates said prospects for an accord between producers and
consumers were diminishing by the minute.
    The special meeting, called to stop the prolonged slide in
coffee prices, was likely to adjourn sometime tonight without
agreement, delegates said.
    The council is expected to agree to reconvene either within
the next six weeks or in September, they said.
    The talks foundered on Sunday afternoon when it became
apparent consumers and producers could not compromise on the
formula for calculating any future quota system, delegates
said.
    Coffee export quotas were suspended a year ago when prices
soared in response to a drought which cut Brazil's crop by
nearly two-thirds. Brazil is the world's largest coffee
producer and exporter.
 REUTER
",['coffee'],"['uk', 'brazil']",International Coffee Organization (ICO) council talks on reintroducing export quotas foundered on Sunday afternoon. Coffee export quotas were suspended a year ago in response to a drought which cut Brazil's crop by nearly two-thirds. Brazil is the world's largest coffee producer and exporter.,international coffee organization ico council talk reintroducing export quota foundered sunday afternoon coffee export quota suspended year ago response drought cut brazil 's crop nearly two-thirds brazil world 's largest coffee producer exporter
NEW ZEALAND CANCELS WEEKLY T-BILL TENDER,"The Reserve Bank said it cancelled
the regular weekly treasury bill tender scheduled for March 3.
    It said in a statement it forecasts a net cash withdrawal
from the system over the settlement week. Cash flows to the
government are expected to more than offset cash injections, it
added.
    The bank said it expects to conduct open market operations
during the week and after these, cash balances should fluctuate
around 30 mln N.Z. Dlrs.
 REUTER
",[],['new-zealand'],The Reserve Bank cancelled the regular weekly treasury bill tender scheduled for March 3. It forecasts a net cash withdrawal from the system over the settlement week. Cash flows to the government are expected to more than offset cash injections. The bank expects to conduct open market operations during the week and after.,reserve bank cancelled regular weekly treasury bill tender scheduled march 3 forecast net cash withdrawal system settlement week cash flow government expected offset cash injection bank expects conduct open market operation week
SHARE TRADING IN CHEUNG KONG GROUP SUSPENDED,"Trading in the shares of three of the
Cheung Kong group of companies will be suspended for two days
at the request of the companies, the Stock Exchange of Hong
Kong said.
    The three are Cheung Kong (Holdings) Ltd &lt;CKGH.HK>,
Hongkong Electric Holdings Ltd &lt;HKEH.HK> and Hutchison Whampoa
Ltd &lt;HWHH.HK>.
    They will announce their 1986 results later today, with
market speculation of a major reorganisation within the group.
Cheung Kong rose 75 cents to 45.25 dlrs on Friday, Hk Electric
60 to 16.00 and Hutchison 1.50 dlrs to 54.50.
 REUTER
",[],['hong-kong'],"Trading in shares of Cheung Kong (Holdings) Ltd, Hongkong Electric Holdings Ltd and Hutchison Whampoa Ltd will be suspended for two days. The three companies will announce their 1986 results later today. There is speculation of a major reorganisation within the group.",trading share cheung kong holding ltd hongkong electric holding ltd hutchison whampoa ltd suspended two day three company announce 1986 result later today speculation major reorganisation within group
FEBRUARY U.S. PURCHASING MANAGER INDEX FALLS,"The U.S. Economy continued to expand in
February but at a slower pace than in January, which saw a
spurt of activity, the National Association of Purchasing
Management (NAPM) said in a report.
    The Association's composite survey index dropped to 51.9
pct in February from 55.8 pct in January, the NAPM said. It was
the seventh consecutive month in which this leading indicator
was over 50 pct.
    A reading above 50 pct generally indicates that the economy
is in an expanding phase. One below 50 pct implies a declining
economy.
    The  NAPM report, based on a survey of purchasing managers
at 250 U.S. Industrial companies, also found that the growth
rate in new orders and production slowed in February.
    But production remained vigorous, with more than three
times as many members reporting it better rather than worse.
    Vendor deliveries improved slightly last month, but members
reported that steel supplies were tight as USX Corp gradually
resumed production.
    The same number of members reported inventories were higher
as reported them lower. The NAPM said that had not happened
since August 1984.
    For a sixth straight month, more purchasers reported paying
higher rather than lower prices, this time by a ratio of nine
to one.
    Robert Bretz, chairman of the NAPM's business survey
committee, said: ""The economy continued to expand in February,
but at a more subdued rate than in January. The slowing of new
orders should not be significant enough to dampen prospects for
a respectable first quarter.""
    The composite index is a seasonally adjusted figure, based
on five components of the NAPM business survey - new orders,
production, vendor deliveries, inventories and employment.
 REUTER
",[],['usa'],"The U.S. economy continued to expand in February, but at a slower pace than in January. The National Association of Purchasing Management's (NAPM) composite survey index dropped to 51.9% in February from 55.8% in January, but production remained vigorous. For the sixth straight month, more purchasers reported paying higher rather than lower prices.",u.s economy continued expand february slower pace january national association purchasing management 's napm composite survey index dropped 51.9 february 55.8 january production remained vigorous sixth straight month purchaser reported paying higher rather lower price
